2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Jiang S. (04)	1 - 23:14'7	Jiang S. (04)	Reception	-	-	Chest	-	Running with ball	Indiv. gain of poss.	2	2	00:00'9	8	29.7	7.2	-79.71	-	E 2	E 2
Jiang S. (04)	1 - 23:15'6	Jiang S. (04)	Running with ball	-	-	-	-	Running with ball	-	2.1	2.1	00:00'8	9.7	29.5	7.1	-75.87	-	E 2	E 2
Jiang S. (04)	1 - 23:16'4	Jiang S. (04)	Running with ball	-	-	-	-	Running with ball	-	2.7	2.7	00:00'7	13.7	27.9	6	-72.93	-	E 2	E 2
Jiang S. (04)	1 - 23:17'1	Zhou D. (08)	Running with ball	-	-	-	-	Pass	Indiv. loss of poss.	2.9	2.9	00:00'9	11.5	25.7	5	-69.94	-	E 2	E 2
Zhou D. (08)	1 - 23:18'0	Du C. (07)	Pass	-	Tackle	-	-	Pass	Indiv. gain of poss.	9.1	9.1	00:00'9	36.5	84.1	5.3	65.06	-	E 2	F 2
Du C. (07)	1 - 23:18'9	Zhong (30)	Pass	-	-	-	-	Reception	-	14	14	00:01'1	45.9	91.3	10.8	42.48	-	F 2	E 2
Zhong (30)	1 - 23:20'0	Zhong (30)	Reception	-	-	-	-	Pass	-	1.1	1.1	00:00'6	6.8	78.2	6.3	70.51	-	E 2	E 2
Zhong (30)	1 - 23:20'6	Ivo (29)	Pass	-	-	-	-	Reception	-	6.4	6.4	00:00'7	33	77.3	8	72.48	-	E 2	E 2
Ivo (29)	1 - 23:21'3	Ivo (29)	Reception	-	-	-	-	Running with ball	-	1.2	1.2	00:00'8	5.4	73.6	13.9	83.84	-	E 2	E 2
Ivo (29)	1 - 23:22'1	Ivo (29)	Running with ball	-	-	-	-	Pass	-	3.2	3.2	00:00'9	12.9	73.4	13.8	86.02	-	E 2	E 3
Ivo (29)	1 - 23:23'0	Jinhao (03)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	17.3	17.3	00:02'1	29.7	71.5	14.1	-89.32	-	E 3	D 3
Jinhao (03)	1 - 23:25'1	Lu Y. (27)	Pass	-	-	-	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	17	17	00:02'4	25.6	47.2	20.7	73.87	-	D 3	D 4
Lu Y. (27)	1 - 23:27'5	Lu Y. (27)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	3.4	3.4	00:00'7	17.4	63.7	26.1	-58.54	-	D 4	D 4
Lu Y. (27)	1 - 23:28'2	Lu Y. (27)	Running with ball	-	-	-	-	Running with ball	-	2.5	2.5	00:00'5	18.1	61.4	24.7	-59.23	-	D 4	C 4
Lu Y. (27)	1 - 23:28'7	Qian J. (26)	Running with ball	-	-	-	-	Pass	Indiv. loss of poss.	6.7	6.7	00:00'8	30.2	59.4	23.6	-58.34	-	C 4	C 4
Qian J. (26)	1 - 23:29'5	Jinhao (03)	Pass	-	Tackle	-	-	Pass	Indiv. gain of poss.	2.2	2.2	00:01'9	4.2	68.8	22.2	54.25	-	C 4	C 4
Jinhao (03)	1 - 23:31'4	Moreno (10)	Pass	-	-	-	-	Reception	-	19.2	19.2	00:01'3	53.2	66.8	18.3	56.57	-	C 4	D 4
Moreno (10)	1 - 23:32'7	Moreno (10)	Reception	-	-	-	-	Running with ball	-	4	4	00:03'1	4.6	50.9	25.4	52.75	-	D 4	D 4
Moreno (10)	1 - 23:35'8	Moreno (10)	Running with ball	-	-	-	-	Running with ball	-	0.4	0.4	00:00'4	3.6	54.6	21.7	51.39	-	D 4	D 4
Moreno (10)	1 - 23:36'2	Moreno (10)	Running with ball	-	-	-	-	Pass	-	1.1	1.1	00:00'5	8	55	21.3	51.65	-	D 4	D 4
Moreno (10)	1 - 23:36'7	Karanga (37)	Pass	Gaining(37.Kar)	-	-	-	Neutral contact	-	1.8	1.2	00:00'4	10.9	55.8	21.1	52.43	-	D 4	D 4
Karanga (37)	1 - 23:37'1	-	Neutral contact	-	-	-	-	Out for throw-in	-	0.6	0.6	00:01'1	2.1	68.5	21	-53.33	-	D 4	D 4
Yunqiu (16)	1 - 23:57'9	Moreno (10)	Pass	-	Throw-in	Two hands	-	Pass	-	8.9	8.9	00:00'8	39.9	56.2	23.8	52.8	-	D 4	D 4
Moreno (10)	1 - 23:58'7	Ivo (29)	Pass	-	-	Chest	-	Reception	Indiv. loss of poss.	4.1	4.1	00:01'5	9.8	47.5	19	51.15	-	D 4	D 4
Ivo (29)	1 - 24:00'2	Ivo (29)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	0.7	0.7	00:00'7	3.4	70.4	17.1	-55.98	-	D 4	D 4
Ivo (29)	1 - 24:00'9	Jiang S. (04)	Running with ball	-	-	-	-	Pass	Indiv. loss of poss.	1.7	1.7	00:00'3	21	69.9	17.7	-56.08	-	D 4	D 4
Jiang S. (04)	1 - 24:01'2	-	Pass	-	Tackle	-	-	Out for throw-in	Indiv. loss of poss. - Indiv. gain of poss.	9.8	9.8	00:01'2	29.5	49.9	17.1	57.78	-	D 4	D 4
Lu Y. (27)	1 - 24:10'4	Zhou D. (08)	Pass	-	Throw-in	Two hands	-	Reception	-	11.1	11.1	00:01'0	40.1	75.5	27	-47.16	-	D 4	D 4
Zhou D. (08)	1 - 24:11'4	Shin Wook (20)	Reception	Gaining(20.Shi)	-	-	-	Neutral contact	-	13.9	0.8	00:00'4	7.4	68.5	16.5	-58.85	-	D 4	D 4
Shin Wook (20)	1 - 24:11'8	-	Neutral contact	-	Tackle	-	-	Out for throw-in	-	13.1	13.1	00:02'6	18.1	48.9	16.4	59.14	-	D 4	D 4
Lu Y. (27)	1 - 24:26'4	Jiang S. (04)	Pass	-	Throw-in	Two hands	-	Reception	Indiv. loss of poss.	19.5	19.5	00:02'2	32	66.5	23	-53.68	-	D 4	C 4
Jiang S. (04)	1 - 24:28'6	Jiang S. (04)	Reception	-	-	Header	-	Pass	Indiv. gain of poss.	0.4	0.4	00:01'6	0.8	72.9	16.4	53.06	-	C 4	C 4
Jiang S. (04)	1 - 24:30'2	Yunqiu (16)	Pass	-	-	-	-	Pass	-	2.8	2.8	00:01'2	8.4	73.2	15.1	52.62	-	C 4	C 4
Yunqiu (16)	1 - 24:31'4	Qian J. (26)	Pass	-	-	-	-	Reception	-	9.4	9.4	00:01'7	19.9	72	11.9	55.55	-	C 4	C 3
Qian J. (26)	1 - 24:33'1	Qian J. (26)	Reception	-	-	-	-	Pass	-	3	3	00:00'8	13.4	65.2	6.2	67.29	-	C 3	C 4
Qian J. (26)	1 - 24:33'9	Jiang S. (04)	Pass	-	-	-	-	Reception	-	7.9	7.9	00:00'5	57.1	64.4	10	65.29	-	C 4	C 4
Jiang S. (04)	1 - 24:34'4	Jiang S. (04)	Reception	-	-	-	-	Running with ball	-	1.9	1.9	00:00'8	8.5	69.8	18.8	56.02	-	C 4	C 4
Jiang S. (04)	1 - 24:35'2	Jiang S. (04)	Running with ball	-	-	-	-	Pass	-	0.6	0.6	00:00'2	11.4	68.6	18.1	58.17	-	C 4	C 4
Jiang S. (04)	1 - 24:35'4	Shin Wook (20)	Pass	-	-	-	-	Reception	-	9	9	00:01'4	23.1	68.2	17.8	58.89	-	C 4	C 4
Shin Wook (20)	1 - 24:36'8	Shin Wook (20)	Reception	-	-	-	-	Pass	-	0.2	0.2	00:00'5	1.6	59.3	15.4	65.62	-	C 4	C 4
Shin Wook (20)	1 - 24:37'3	Shilin (37)	Pass	-	-	-	-	Reception	-	8.9	8.9	00:00'8	40.1	59	16.2	65.8	-	C 4	C 4
Shilin (37)	1 - 24:38'1	Shilin (37)	Reception	-	-	-	-	Running with ball	-	3.3	3.3	00:00'7	17	63.3	26.7	57.81	-	C 4	D 4
Shilin (37)	1 - 24:38'8	Shilin (37)	Running with ball	-	-	-	-	Running with ball	-	2.7	2.7	00:00'5	19.7	60.4	27.1	58.55	-	D 4	D 4
Shilin (37)	1 - 24:39'3	-	Running with ball	-	-	-	-	Out for throw-in	Indiv. loss of poss.	5.7	5.7	00:02'0	10.3	58.3	27.4	56.83	-	D 4	D 4
Ivo (29)	1 - 24:45'5	Zhou D. (08)	Pass	-	Throw-in	Two hands	-	Reception	-	17.4	17.4	00:02'1	29.9	70.4	22.2	-51.61	-	D 4	D 3
Zhou D. (08)	1 - 24:47'6	Zhou D. (08)	Reception	-	-	-	-	Running with ball	-	1.5	1.5	00:00'4	13.1	62.7	14.1	-68.84	-	D 3	D 3
Zhou D. (08)	1 - 24:48'0	Zhou D. (08)	Running with ball	-	-	-	-	Pass	-	1.8	1.8	00:00'4	16.2	62	14.2	-70.58	-	D 3	D 3
Zhou D. (08)	1 - 24:48'4	Chen (25)	Pass	-	-	-	-	Reception	-	16.8	16.8	00:01'6	37.8	61.4	14.6	-72.67	-	D 3	D 3
Chen (25)	1 - 24:50'0	Chen (25)	Reception	-	-	-	-	Running with ball	-	2.8	2.8	00:01'2	8.4	69.1	26.8	-89.84	-	D 3	D 2
Chen (25)	1 - 24:51'2	Chen (25)	Running with ball	-	-	-	-	Running with ball	-	2.5	2.5	00:01'0	9	68.1	25.2	86.12	-	D 2	D 2
Chen (25)	1 - 24:52'2	Chen (25)	Running with ball	-	-	-	-	Running with ball	-	2	2	00:00'9	7.9	65.8	22.2	85.34	-	D 2	D 2
Chen (25)	1 - 24:53'1	Chen (25)	Running with ball	-	-	-	-	Pass	-	0.8	0.8	00:00'4	7	63.9	19.8	86.66	-	D 2	D 2
Chen (25)	1 - 24:53'5	Shangyuan (26)	Pass	-	-	-	-	Reception	-	13.6	13.6	00:01'7	28.8	63.4	19.3	87.52	-	D 2	E 3
Shangyuan (26)	1 - 24:55'2	Shangyuan (26)	Reception	-	-	-	-	Running with ball	-	2.4	2.4	00:01'5	5.8	74.8	30.2	-79.02	-	E 3	E 3
Shangyuan (26)	1 - 24:56'7	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	2.4	2.4	00:00'9	9.8	72.5	27.8	-79.46	-	E 3	E 3
Shangyuan (26)	1 - 24:57'6	Han Xuan (04)	Pass	-	-	-	-	Reception	-	21.2	21.2	00:02'2	34.6	70.6	26.4	-77.84	-	E 3	D 4
Han Xuan (04)	1 - 24:59'8	Han Xuan (04)	Reception	-	-	-	-	Pass	-	7.2	7.2	00:01'7	15.2	65.7	25.5	-59.62	-	D 4	D 4
Han Xuan (04)	1 - 25:01'5	Lu Y. (27)	Pass	-	-	-	-	Reception	-	15.8	15.8	00:01'1	51.7	60.4	22.4	-61.34	-	D 4	C 4
Lu Y. (27)	1 - 25:02'6	Moreno (10)	Reception	-	-	-	-	Reception	Indiv. loss of poss.	3.8	3.8	00:01'2	11.5	49.5	21.4	-50.16	-	C 4	B 4
Moreno (10)	1 - 25:03'8	Moreno (10)	Reception	-	Tackle	-	-	Pass	Indiv. gain of poss.	1	1	00:00'2	18.5	77.1	19.3	48.17	-	B 4	B 4
Moreno (10)	1 - 25:04'0	-	Pass	-	-	-	-	Out for throw-in	Indiv. loss of poss.	5.7	5.7	00:01'2	17.2	78.1	19.7	46.95	-	B 4	B 4
Lu Y. (27)	1 - 25:08'9	Han Xuan (04)	Pass	-	Throw-in	Two hands	-	Reception	-	10.6	10.6	00:00'7	54.4	50.2	23.7	-42.74	-	B 4	C 4
Han Xuan (04)	1 - 25:09'6	Han Xuan (04)	Reception	-	-	-	-	Running with ball	-	1.7	1.7	00:01'8	3.4	53.5	20.8	-53.9	-	C 4	C 4
Han Xuan (04)	1 - 25:11'4	Han Xuan (04)	Running with ball	-	-	-	-	Pass	-	10.1	10.1	00:02'0	18.2	54	22	-55.63	-	C 4	C 4
Han Xuan (04)	1 - 25:13'4	Chen (25)	Pass	-	-	-	-	Reception	-	32.1	32.1	00:02'7	42.8	50.3	18.4	-65.93	-	C 4	D 2
Chen (25)	1 - 25:16'1	Chen (25)	Reception	-	-	-	-	Running with ball	-	7.3	7.3	00:02'6	10.1	56.9	33	78.47	-	D 2	C 2
Chen (25)	1 - 25:18'7	Chen (25)	Running with ball	-	-	-	-	Running with ball	-	5	5	00:02'2	8.1	52.2	27.6	73.99	-	C 2	C 2
Chen (25)	1 - 25:20'9	Chen (25)	Running with ball	-	-	-	-	Pass	-	0.4	0.4	00:00'6	2.5	50.1	26	68.96	-	C 2	C 2
Chen (25)	1 - 25:21'5	Shangyuan (26)	Pass	-	-	-	-	Reception	-	21.4	21.4	00:02'0	38.4	49.8	26.3	68.69	-	C 2	D 3
Shangyuan (26)	1 - 25:23'5	Shangyuan (26)	Reception	-	-	-	-	Running with ball	-	0.9	0.9	00:00'5	6.2	54.4	24.2	-88.08	-	D 3	D 3
Shangyuan (26)	1 - 25:24'0	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	6.3	6.3	00:02'3	9.8	53.7	23.3	-87.54	-	D 3	C 3
Shangyuan (26)	1 - 25:26'3	Ivo (29)	Pass	-	-	-	-	Pass	-	7.8	7.8	00:00'9	31.2	47.6	18.8	-86.27	-	C 3	C 3
Ivo (29)	1 - 25:27'2	Shangyuan (26)	Pass	-	-	-	-	Reception	-	11.6	11.6	00:01'9	21.9	40.2	11.7	-83	-	C 3	C 3
Shangyuan (26)	1 - 25:29'1	Shangyuan (26)	Reception	-	-	-	-	Pass	-	0.4	0.4	00:00'5	2.6	50.7	19.2	-76.9	-	C 3	C 3
Shangyuan (26)	1 - 25:29'6	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	17	17	00:01'2	51	50.6	18.8	-76.51	-	C 3	B 3
Bassogog C. (10)	1 - 25:30'8	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	2.3	2.3	00:01'2	6.9	35.8	4	-65.37	-	B 3	B 3
Bassogog C. (10)	1 - 25:32'0	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	0.8	0.8	00:01'2	2.4	37.9	6.7	-66.82	-	B 3	B 3
Bassogog C. (10)	1 - 25:33'2	Bassogog C. (10)	Running with ball	-	-	-	-	Pass	-	0.6	0.6	00:00'4	5.8	38.1	8.7	-65.66	-	B 3	B 3
Bassogog C. (10)	1 - 25:33'6	Qian J. (26)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	12.4	12.4	00:00'8	55.9	37.5	8.6	-66.1	-	B 3	B 3
Qian J. (26)	1 - 25:34'4	Karanga (37)	Pass	-	-	-	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	6.6	6.6	00:01'5	15.9	77.1	7.9	80.87	-	B 3	B 3
Karanga (37)	1 - 25:35'9	Karanga (37)	Reception	-	-	-	-	Pass	Indiv. gain of poss.	3.5	3.5	00:00'8	15.7	21.8	12.1	-83.43	-	B 3	B 2
Karanga (37)	1 - 25:36'7	Du C. (07)	Pass	-	-	-	-	Cross	-	28.2	28.2	00:02'4	42.3	23.3	9.9	88.52	-	B 2	B 1
Du C. (07)	1 - 25:39'1	Zhu C. (05)	Cross	-	-	-	-	Clearance	Indiv. loss of poss.	25.1	25.1	00:01'4	64.6	34.9	31.6	34.97	-	B 1	A 2
Zhu C. (05)	1 - 25:40'5	Zhou D. (08)	Clearance	-	-	Header	-	Pass	Indiv. loss of poss. - Indiv. gain of poss.	36.7	36.7	00:03'8	34.7	93.7	14.5	-66.32	-	A 2	C 2
Zhou D. (08)	1 - 25:44'3	Chen (25)	Pass	-	-	-	-	Reception	Indiv. gain of poss.	11.1	11.1	00:01'2	33.3	48.7	25.7	78.99	-	C 2	C 1
Chen (25)	1 - 25:45'5	Chen (25)	Reception	-	-	-	-	Running with ball	-	1.1	1.1	00:01'2	3.2	51.5	32.6	66.67	-	C 1	C 1
Chen (25)	1 - 25:46'7	Chen (25)	Running with ball	-	-	-	-	Pass	-	0.1	0.1	00:00'1	-	51.2	31.3	65.54	-	C 1	C 1
Chen (25)	1 - 25:46'8	Zhou D. (08)	Pass	-	-	-	-	Reception	-	13.5	13.5	00:02'8	17.4	51.1	31.1	65.49	-	C 1	C 2
Zhou D. (08)	1 - 25:49'6	Zhou D. (08)	Reception	-	-	-	-	Pass	-	2.1	2.1	00:01'1	7	47.3	21.8	80.64	-	C 2	C 2
Zhou D. (08)	1 - 25:50'7	Chen (25)	Pass	-	-	-	-	Reception	-	17.7	17.7	00:01'7	37.5	46.4	22.8	78.3	-	C 2	C 1
Chen (25)	1 - 25:52'4	Chen (25)	Reception	-	-	-	-	Pass	-	4	4	00:01'9	7.5	48	32.7	56.74	-	C 1	C 1
Chen (25)	1 - 25:54'3	Qian J. (26)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	19.2	19.2	00:00'7	98.9	45.5	31.1	52.95	-	C 1	B 2
Qian J. (26)	1 - 25:55'0	Zhou D. (08)	Pass	-	-	Header	-	Pass	Indiv. loss of poss. - Indiv. gain of poss.	6	6	00:00'4	54.1	83.7	16.7	-58.11	-	B 2	B 2
Zhou D. (08)	1 - 25:55'4	Ivo (29)	Pass	-	-	-	-	Reception	Indiv. gain of poss.	12.2	12.2	00:02'5	17.6	28.3	12.5	70.16	-	B 2	C 2
Ivo (29)	1 - 25:57'9	Ivo (29)	Reception	-	-	-	-	Running with ball	-	3.1	3.1	00:01'3	8.7	39.9	17.5	76.24	-	C 2	C 2
Ivo (29)	1 - 25:59'2	-	Running with ball	-	-	-	-	Out for throw-in	Indiv. loss of poss.	48	48	00:04'6	37.6	42	17	79.57	-	C 2	B 4
Yunqiu (16)	1 - 26:19'4	Qian J. (26)	Pass	-	Throw-in	Two hands	-	Pass	-	10.2	10.2	00:01'4	26.3	90.6	27.9	31.15	-	B 4	B 4
Qian J. (26)	1 - 26:20'8	Shilin (37)	Pass	-	-	-	-	Pass	-	19.3	19.3	00:01'6	43.3	85.5	19	41.9	-	B 4	C 4
Shilin (37)	1 - 26:22'4	Jiang S. (04)	Pass	-	-	-	-	Pass	-	8.1	8.1	00:01'3	22.3	67	12.4	59.91	-	C 4	C 4
Jiang S. (04)	1 - 26:23'7	Jiajun (23)	Pass	-	-	-	-	Reception	-	30.5	30.5	00:02'3	47.7	73.6	11.8	56.92	-	C 4	C 2
Jiajun (23)	1 - 26:26'0	Jiajun (23)	Reception	-	-	-	-	Pass	-	8.7	8.7	00:01'6	19.5	69.8	17.4	-77.8	-	C 2	C 2
Jiajun (23)	1 - 26:27'6	Yunding C. (28)	Pass	-	-	-	-	Reception	-	29	29	00:02'2	47.4	63.2	17.3	-74.16	-	C 2	D 1
Yunding C. (28)	1 - 26:29'8	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	7.9	7.9	00:01'5	19.1	47.6	25.8	-53.11	-	D 1	E 1
Yunding C. (28)	1 - 26:31'3	Yunding C. (28)	Running with ball	-	-	-	-	Cross	-	14.2	14.2	00:01'9	26.9	40.7	21	-48.19	-	E 1	F 1
Yunding C. (28)	1 - 26:33'2	Han Xuan (04)	Cross	Gaining(04.Han) - Gaining(27.Lu)	-	Left foot	-	Neutral contact	-	74.1	38.1	00:02'4	57.1	30.3	19.9	-32.33	-	F 1	F 3
Han Xuan (04)	1 - 26:35'6	Lu Y. (27)	Neutral contact	Gaining(27.Lu)	Ground duel	-	-	Neutral contact	-	36	15	00:01'6	33.8	97.5	21.6	-35.26	-	F 3	F 4
Lu Y. (27)	1 - 26:37'2	-	Neutral contact	-	Ground duel	-	-	Out for throw-in	-	21	21	00:02'8	27	97.8	27.7	-22.25	-	F 4	E 4
Yunqiu (16)	1 - 26:51'3	Moreno (10)	Pass	-	Throw-in	Two hands	-	Reception	-	6.9	6.9	00:00'9	27.5	46.6	29	38.91	-	E 4	E 4
Moreno (10)	1 - 26:52'2	-	Reception	-	-	-	-	Foul - dir. free-kick	Indiv. loss of poss.	2.8	2.8	00:02'7	3.8	39.9	24.4	37.36	-	E 4	E 4
Shangyuan (26)	1 - 27:25'5	Karanga (37)	Pass	-	Direct free-kick	-	Straight	Pass	-	46.7	46.7	00:02'6	64.7	78	38.6	-48.34	-	E 4	B 4
Karanga (37)	1 - 27:28'1	Jinhao (03)	Pass	-	Air duel	Header	-	Clearance	Indiv. loss of poss.	15.8	15.8	00:02'2	25.8	35	15.5	-47.89	-	B 4	A 3
Jinhao (03)	1 - 27:30'3	Karanga (37)	Clearance	-	-	Header	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	13.8	13.8	00:02'3	21.6	90.8	13.9	50.88	-	A 3	A 4
Karanga (37)	1 - 27:32'6	Karanga (37)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	2.6	2.6	00:01'7	5.6	28.8	15.6	-26.21	-	A 4	A 4
Karanga (37)	1 - 27:34'3	Karanga (37)	Running with ball	-	-	-	-	Pass	-	0.7	0.7	00:01'3	1.9	29.4	18.2	-21.15	-	A 4	A 4
Karanga (37)	1 - 27:35'6	Ivo (29)	Pass	-	-	-	-	Reception	-	7.7	7.7	00:00'6	45.9	28.7	17.1	-21.02	-	A 4	B 4
Ivo (29)	1 - 27:36'2	Ivo (29)	Reception	-	-	-	-	Running with ball	-	1	1	00:01'0	3.6	35.2	17.5	-28.31	-	B 4	B 4
Ivo (29)	1 - 27:37'2	Shilin (37)	Running with ball	-	-	-	-	Pass	Indiv. loss of poss.	2.4	2.4	00:00'6	14.5	36.2	18.7	-28.76	-	B 4	B 4
Shilin (37)	1 - 27:37'8	Yunqiu (16)	Pass	-	Tackle	-	-	Pass	Indiv. gain of poss.	6.8	6.8	00:02'0	12.2	92.4	20.6	29.36	-	B 4	B 4
Yunqiu (16)	1 - 27:39'8	Lu Y. (27)	Pass	-	Ground duel	-	-	Pass	Indiv. loss of poss.	1.5	1.5	00:00'9	5.8	86	15.9	39.46	-	B 4	B 4
Lu Y. (27)	1 - 27:40'7	Shilin (37)	Pass	Gaining(37.Shi)	-	-	-	Neutral contact	Indiv. gain of poss.	4.3	3.2	00:00'3	38.2	38.7	15.5	-41.44	-	B 4	B 4
Shilin (37)	1 - 27:41'0	Lu Y. (27)	Neutral contact	-	-	-	-	Reception	-	1.1	1.1	00:00'5	8	87.5	18	36.75	-	B 4	B 4
Lu Y. (27)	1 - 27:41'5	-	Reception	-	-	-	-	Out for throw-in	Indiv. loss of poss.	7.6	7.6	00:01'4	19.4	39.8	17.8	-37.85	-	B 4	B 4
Yunqiu (16)	1 - 27:58'6	Qian J. (26)	Pass	-	Throw-in	Two hands	-	Reception	-	11.1	11.1	00:01'3	30.7	92.3	22	28.75	-	B 4	B 4
Qian J. (26)	1 - 27:59'9	Qian J. (26)	Reception	-	-	-	-	Pass	-	0.4	0.4	00:00'2	6.5	88.5	17.5	37.48	-	B 4	B 4
Qian J. (26)	1 - 28:00'1	Yunqiu (16)	Pass	-	-	-	-	Reception	-	8.3	8.3	00:01'3	23	88.4	17.9	37.44	-	B 4	B 4
Yunqiu (16)	1 - 28:01'4	Yunqiu (16)	Reception	-	-	-	-	Pass	-	0.7	0.7	00:00'7	3.6	91.9	25.6	29.69	-	B 4	B 4
Yunqiu (16)	1 - 28:02'1	-	Pass	-	-	-	-	Out for throw-in	Indiv. loss of poss.	3	3	00:03'0	3.6	91.6	26	30.18	-	B 4	B 4
Lu Y. (27)	1 - 28:15'6	Bassogog C. (10)	Pass	-	Throw-in	Two hands	-	Reception	-	9	9	00:01'1	29.4	42.7	24	-32.76	-	B 4	B 4
Bassogog C. (10)	1 - 28:16'7	Bassogog C. (10)	Reception	-	-	-	-	Pass	-	2.8	2.8	00:00'9	11.3	34.8	15.2	-39.05	-	B 4	B 4
Bassogog C. (10)	1 - 28:17'6	Lu Y. (27)	Pass	-	-	-	-	Reception	-	3.4	3.4	00:00'3	40.2	37.6	16	-38.52	-	B 4	B 4
Lu Y. (27)	1 - 28:17'9	Lu Y. (27)	Reception	-	-	-	-	Running with ball	-	3.8	3.8	00:01'4	9.7	39.1	18.9	-34.06	-	B 4	B 4
Lu Y. (27)	1 - 28:19'3	Lu Y. (27)	Running with ball	-	-	-	-	Pass	-	2.5	2.5	00:00'5	18.1	36.6	18.6	-29.86	-	B 4	A 4
Lu Y. (27)	1 - 28:19'8	Jinhao (03)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	14.4	14.4	00:01'1	47	35.1	19.2	-26.57	-	A 4	A 3
Jinhao (03)	1 - 28:20'9	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss. - Indiv. gain of poss.	24.5	24.5	00:03'4	25.9	94.1	12.3	35.69	-	A 3	B 4
Lu Y. (27)	1 - 28:42'8	Jinhao (03)	Pass	-	Throw-in	Two hands	-	Pass	Indiv. loss of poss.	15	15	00:01'5	35.9	45.9	22.8	-36.67	-	B 4	B 4
Jinhao (03)	1 - 28:44'3	Qian J. (26)	Pass	-	Ground duel	-	-	Pass	Indiv. gain of poss.	14.5	14.5	00:01'8	29	89.9	14	36.98	-	B 4	B 3
Qian J. (26)	1 - 28:46'1	Zhong (30)	Pass	-	Ground duel	-	-	Pass	Indiv. loss of poss.	15.5	15.5	00:02'6	21.4	79.1	5.3	64.46	-	B 3	B 2
Zhong (30)	1 - 28:48'7	Du C. (07)	Pass	-	-	-	-	Reception	Indiv. gain of poss.	30.8	30.8	00:02'6	42.6	28.5	16.4	84.97	-	B 2	B 1
Du C. (07)	1 - 28:51'3	Du C. (07)	Reception	-	-	-	-	Cross	-	2.5	2.5	00:00'9	10.1	40	38.5	34.92	-	B 1	B 1
Du C. (07)	1 - 28:52'2	Yunqiu (16)	Cross	-	-	-	-	Clearance	Indiv. loss of poss.	48.5	48.5	00:02'6	67.1	39.4	37.6	31.39	-	B 1	A 3
Yunqiu (16)	1 - 28:54'8	-	Clearance	-	-	Header	-	Out for corner	Indiv. loss of poss. - Indiv. gain of poss.	3.3	3.3	00:01'0	12	103.1	19.2	12.37	-	A 3	A 3
Zhou D. (08)	1 - 29:22'1	Shilin (37)	Cross	-	Corner	-	-	Reception	Indiv. loss of poss.	36.7	36.7	00:02'1	63	33.1	25.9	-1.21	-	A 4	A 2
Shilin (37)	1 - 29:24'2	Shilin (37)	Reception	-	-	Header	-	Clearance	Indiv. gain of poss.	20	20	00:03'6	20	101.1	18.2	-48.81	-	A 2	A 1
Shilin (37)	1 - 29:27'8	Shangyuan (26)	Clearance	-	-	-	-	Reception	Indiv. loss of poss.	50.3	50.3	00:04'2	43.1	105.1	31.5	-6.1	-	A 1	D 1
Shangyuan (26)	1 - 29:32'0	Shangyuan (26)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	6.6	6.6	00:01'4	17.1	57.1	30.7	67.33	-	D 1	C 1
Shangyuan (26)	1 - 29:33'4	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	11.1	11.1	00:02'2	18.2	57.4	30.2	60.94	-	C 1	C 1
Shangyuan (26)	1 - 29:35'6	Han Xuan (04)	Pass	-	-	-	-	Pass	-	34.9	34.9	00:02'1	59.8	48.4	26.2	53.82	-	C 1	B 3
Han Xuan (04)	1 - 29:37'7	Jiajun (23)	Pass	-	-	Header	-	Clearance	Indiv. loss of poss.	20.2	20.2	00:02'9	25	22.4	8.9	-84.88	-	B 3	A 2
Jiajun (23)	1 - 29:40'6	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss. - Indiv. gain of poss.	28.2	28.2	00:03'4	29.9	99.4	16.6	-31.38	-	A 2	B 1
Du C. (07)	1 - 29:46'3	Bassogog C. (10)	Pass	-	Throw-in	Two hands	-	Reception	-	13.1	13.1	00:01'3	36.3	39.8	28.5	26.05	-	B 1	A 1
