2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Yunding C. (28)	1 - 00:59'0	Jiajun (23)	Pass	-	-	-	-	Reception	-	8.1	8.1	00:00'9	32.2	52.9	19.9	-56.79	-	D 1	D 1
Jiajun (23)	1 - 00:59'9	Jiajun (23)	Reception	-	-	-	-	Pass	-	1.1	1.1	00:01'1	3.6	60.3	25.4	-60.16	-	D 1	D 1
Jiajun (23)	1 - 01:01'0	Du C. (07)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	17.5	17.5	00:01'1	57.4	59.8	24.7	-61.08	-	D 1	E 1
Du C. (07)	1 - 01:02'1	Shin Wook (20)	Clearance	-	-	Header	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	6.1	6.1	00:01'6	13.8	75.5	18.6	51.38	-	E 1	E 1
Shin Wook (20)	1 - 01:03'7	Shin Wook (20)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	2.7	2.7	00:01'3	7.4	40.7	12	-57.76	-	E 1	E 2
Shin Wook (20)	1 - 01:05'0	Shin Wook (20)	Running with ball	-	-	-	-	Pass	-	3.2	3.2	00:01'0	11.4	38.1	10.8	-58.65	-	E 2	E 1
Shin Wook (20)	1 - 01:06'0	Yunding C. (28)	Pass	-	-	-	-	Reception	-	11	11	00:01'0	39.5	36.1	12.2	-54.81	-	E 1	E 1
Yunding C. (28)	1 - 01:07'0	Yunding C. (28)	Reception	-	-	-	-	Cross	-	1.4	1.4	00:01'2	4.2	40.9	22	-40.04	-	E 1	E 1
Yunding C. (28)	1 - 01:08'2	Moreno (10)	Cross	-	-	-	-	Shot not on target	-	35.6	35.6	00:01'4	91.7	39.9	20.1	-41.44	-	E 1	F 3
Moreno (10)	1 - 01:09'6	-	Shot not on target	-	-	Header	-	Out for goal kick	Indiv. loss of poss.	12.9	12.9	00:02'5	18.5	8.9	21.9	82.87	Out right (Middle)	F 3	F 2
Yan Wu (17)	1 - 01:44'4	Jiang S. (04)	Pass	Gaining(04.Jia)	Goal kick	-	-	Neutral contact	Indiv. loss of poss.	69.3	57.9	00:03'3	63.2	100.3	56.5	38.32	-	F 2	C 2
Jiang S. (04)	1 - 01:47'7	Moreno (10)	Neutral contact	-	Air duel	Header	-	Reception	Gaining neutral touch	11.4	11.4	00:01'2	34.1	64.2	12.1	-67.88	-	C 2	D 1
Moreno (10)	1 - 01:48'9	-	Reception	-	-	-	-	Out for throw-in	Indiv. loss of poss. - Coll. gain of poss.	12.1	12.1	00:02'3	18.9	56.1	18.8	-66.45	-	D 1	D 1
Du C. (07)	1 - 01:56'9	Karanga (37)	Pass	-	Throw-in	Two hands	-	Pass	-	15	15	00:01'5	36.1	65	24	55.36	-	D 1	C 1
Karanga (37)	1 - 01:58'4	-	Pass	-	-	Header	-	Out for throw-in	Indiv. loss of poss.	2.2	2.2	00:01'8	4.3	51.7	18.2	51.2	-	C 1	C 1
Jiajun (23)	1 - 02:10'1	Moreno (10)	Pass	-	Throw-in	Two hands	-	Pass	-	18.4	18.4	00:02'1	31.6	74	23.7	-48.95	-	C 1	C 2
Moreno (10)	1 - 02:12'2	Chen (25)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	14.7	14.7	00:01'8	29.5	57.9	7.2	-68.73	-	C 2	D 1
Chen (25)	1 - 02:14'0	Zhong (30)	Clearance	-	-	Header	-	Pass	Indiv. gain of poss.	6	6	00:02'2	9.8	68.7	19.6	56.4	-	D 1	D 1
Zhong (30)	1 - 02:16'2	-	Pass	-	-	Header	-	Out for throw-in	Indiv. loss of poss.	11.2	11.2	00:02'6	15.5	65.4	18.5	56.79	-	D 1	D 1
Jiajun (23)	1 - 02:26'0	Shin Wook (20)	Pass	-	Throw-in	Two hands	-	Reception	-	18.2	18.2	00:01'6	40.9	51.1	20.5	-46.51	-	D 1	E 1
Shin Wook (20)	1 - 02:27'6	Shin Wook (20)	Reception	-	-	-	-	Pass	-	1.8	1.8	00:00'8	8.3	33.1	15.7	-43.53	-	E 1	E 1
Shin Wook (20)	1 - 02:28'4	Yunding C. (28)	Pass	-	Tackle	-	-	Reception	-	8.4	8.4	00:00'9	33.5	34.6	14.3	-45.23	-	E 1	E 1
